海防艦		DE
伊58	I-58
伊8	I-8
鈴谷改	Suzuya Kai
熊野改	Kumano Kai
大和	Yamato
秋雲	Akigumo
夕雲	Yūgumo
巻雲	Makigumo
長波	Naganami
大和改	Yamato Kai
阿賀野	Agano
能代	Noshiro
矢矧	Yahagi
酒匂	Sakawa
五十鈴改二	Isuzu Kai Ni
衣笠改二	Kinugasa Kai Ni
武蔵	Musashi
夕立改二	Yūdachi Kai Ni
時雨改二	Shigure Kai Ni
木曾改二	Kiso Kai Ni
Верный	Верный
武蔵改	Musashi Kai
金剛改二	Kongō Kai Ni
比叡改二	Hiei Kai Ni
榛名改二	Haruna Kai Ni
霧島改二	Kirishima Kai Ni
大鳳	Taihō
香取	Katori
伊401	I-401
大鳳改	Taihō Kai
龍驤改二	Ryūjō Kai Ni
川内改二	Sendai Kai Ni
神通改二	Jintsū Kai Ni
那珂改二	Naka Kai Ni
あきつ丸	Akitsumaru
神威	Kamoi
まるゆ	Maruyu
弥生	Yayoi
卯月	Uzuki
あきつ丸改	Akitsumaru Kai
磯風	Isokaze
浦風	Urakaze
谷風	Tanikaze
浜風	Hamakaze
Bismarck	Bismarck
Bismarck改	Bismarck Kai
Bismarck zwei	Bismarck zwei
Z1	Z1
Z3	Z3
Prinz Eugen	Prinz Eugen
Prinz Eugen改	Prinz Eugen Kai
Bismarck drei	Bismarck drei
Z1 zwei	Z1 zwei
Z3 zwei	Z3 zwei
天津風	Amatsukaze
明石	Akashi
大淀	Ōyodo
大鯨	Taigei
龍鳳	Ryūhō
時津風	Tokitsukaze
明石改	Akashi Kai
利根改二	Tone Kai Ni
筑摩改二	Chikuma Kai Ni
初風	Hatsukaze
伊19	I-19
那智改二	Nachi Kai Ni
足柄改二	Ashigara Kai Ni
羽黒改二	Haguro Kai Ni
綾波改二	Ayanami Kai Ni
飛龍改二	Hiryū Kai Ni
蒼龍改二	Sōryū Kai Ni
霰改二	Arare Kai Ni
大潮改二	Ōshio Kai Ni
阿武隈改二	Abukuma Kai Ni
吹雪改	Fubuki Kai
白雪改	Shirayuki Kai
初雪改	Hatsuyuki Kai
深雪改	Miyuki Kai
叢雲改	Murakumo Kai
磯波改	Isonami Kai
綾波改	Ayanami Kai
敷波改	Shikinami Kai
金剛改	Kongō Kai
比叡改	Hiei Kai
榛名改	Haruna Kai
霧島改	Kirishima Kai
天龍改	Tenryū Kai
龍田改	Tatsuta Kai
球磨改	Kuma Kai
多摩改	Tama Kai
木曾改	Kiso Kai
長良改	Nagara Kai
五十鈴改	Isuzu Kai
由良改	Yura Kai
名取改	Natori Kai
川内改	Sendai Kai
神通改	Jintsū Kai
那珂改	Naka Kai
陽炎改	Kagerō Kai
不知火改	Shiranui Kai
黒潮改	Kuroshio Kai
雪風改	Yukikaze Kai
島風改	Shimakaze Kai
朧改	Oboro Kai
曙改	Akebono Kai
漣改	Sazanami Kai
潮改	Ushio Kai
暁改	Akatsuki Kai
響改	Hibiki Kai
雷改	Ikazuchi Kai
電改	Inazuma Kai
初春改	Hatsuharu Kai
子日改	Nenohi Kai
若葉改	Wakaba Kai
初霜改	Hatsushimo Kai
白露改	Shiratsuyu Kai
時雨改	Shigure Kai
村雨改	Murasame Kai
夕立改	Yūdachi Kai
五月雨改	Samidare Kai
涼風改	Suzukaze Kai
朝潮改	Asashio Kai
大潮改	Ōshio Kai
満潮改	Michishio Kai
荒潮改	Arashio Kai
霰改	Arare Kai
霞改	Kasumi Kai
睦月改	Mutsuki Kai
如月改	Kisaragi Kai
皐月改	Satsuki Kai
文月改	Fumizuki Kai
長月改	Nagatsuki Kai
菊月改	Kikuzuki Kai
三日月改	Mikazuki Kai
望月改	Mochizuki Kai
古鷹改	Furutaka Kai
加古改	Kako Kai
青葉改	Aoba Kai
妙高改	Myōkō Kai
那智改	Nachi Kai
足柄改	Ashigara Kai
羽黒改	Haguro Kai
高雄改	Takao Kai
愛宕改	Atago Kai
摩耶改	Maya Kai
鳥海改	Chōkai Kai
利根改	Tone Kai
筑摩改	Chikuma Kai
長門改	Nagato Kai
陸奥改	Mutsu Kai
赤城改	Akagi Kai
加賀改	Kaga Kai
蒼龍改	Sōryū Kai
飛龍改	Hiryū Kai
龍驤改	Ryūjō Kai
祥鳳改	Shōhō Kai
飛鷹改	Hiyō Kai
隼鷹改	Jun'yō Kai
鳳翔改	Hōshō Kai
扶桑改	Fusō Kai
山城改	Yamashiro Kai
翔鶴改	Shōkaku Kai
鬼怒改	Kinu Kai
阿武隈改	Abukuma Kai
千歳航改	Chitose Carrier Kai
千代田航改	Chiyoda Carrier Kai
夕張改	Abukuma Kai
舞風改	Maikaze Kai
衣笠改	Kinugasa Kai
千歳航改二	Chitose Carrier Kai Ni
千代田航改二	Chiyoda Carrier Kai Ni
初風改	Hatsukaze Kai
秋雲改	Akigumo Kai
夕雲改	Yūgumo Kai
巻雲改	Makigumo Kai
長波改	Naganami Kai
阿賀野改	Agano Kai
能代改	Noshiro Kai
矢矧改	Yahagi Kai
弥生改	Yayoi Kai
卯月改	Uzuki Kai
Z1改	Z1 Kai
Z3改	Z3 Kai
浜風改	Hamakaze Kai
谷風改	Tanikaze Kai
酒匂改	Sakawa Kai
天津風改	Amatsukaze Kai
浦風改	Urakaze Kai
龍鳳改	Ryūhō Kai
妙高改二	Myōkō Kai Ni
磯風改	Isokaze Kai
大淀改	Ōyodo Kai
時津風改	Tokitsukaze Kai
春雨改	Harusame Kai
早霜改	Hayashimo Kai
清霜改	Kiyoshimo Kai
初春改二	Hatsuharu Kai Ni
朝雲改	Asagumo Kai
山雲改	Yamagumo Kai
野分改	Nowaki Kai
秋月改	Akizuki Kai
天城	Amagi
葛城	Katsuragi
U-511改	U-511 Kai
香取改	Katori Kai
朝霜改	Asashimo Kai
高波改	Takanami Kai
照月改	Teruzuki Kai
Libeccio改	Libeccio Kai
瑞穂改	Mizuho Kai
風雲改	Kazagumo Kai
海風改	Umikaze Kai
江風改	Kawakaze Kai
速吸改	Hayasui Kai
Graf Zeppelin改	Graf Zeppelin Kai
嵐改	Arashi Kai
萩風改	Hagikaze Kai
鹿島改	Kashima Kai
初月改	Hatsuzuki Kai
Zara改	Zara Kai
沖波改	Okinami Kai
Iowa改	Iowa Kai
Pola改	Pola Kai
親潮改	Oyashio Kai
春風改	Harukaze Kai
Warspite改	Warspite Kai
Aquila改	Aquila Kai
水無月改	Minazuki Kai
伊26改	I-26 Kai
浜波	Hamanami
浦波改	Uranami Kai
山風改	Yamakaze Kai
朝風改	Asakaze Kai
松風改	Matsukaze Kai
Commandant Teste改	Commandant Teste Kai
藤波改	Fujinami Kai
伊13改	I-13 Kai
伊14改	I-14 Kai
占守改	Shimushu Kai
国後改	Kunashiri Kai
大鷹改	Taiyō Kai
択捉改	Etorofu Kai
松輪改	Matsuwa Kai
佐渡改	Sado Kai
対馬改	Tsushima Kai
旗風改	Hatakaze Kai
天霧改	Amagiri Kai
狭霧改	Sagiri Kai
Richelieu改	Richelieu Kai
Ark Royal改	Ark Royal Kai
Jervis改	Jervis Kai
Ташкент改	Ташкент Kai
Gambier Bay改	Gambier Bay Kai
Intrepid改	Intrepid Kai
伊168改	I-168 Kai
伊58改	I-58 Kai
伊8改	I-8 Kai
伊19改	I-19 Kai
まるゆ改	Maruyu Kai
伊401改	I-401 Kai
雲龍	Unryū
春雨	Harusame
雲龍改	Unryū Kai
潮改二	Ushio Kai Ni
隼鷹改二	Jun'yō Kai Ni
早霜	Hayashimo
清霜	Kiyoshimo
扶桑改二	Fusō Kai Ni
山城改二	Yamashiro Kai Ni
朝雲	Asagumo
山雲	Yamagumo
野分	Nowaki
古鷹改二	Furutaka Kai Ni
加古改二	Kako Kai Ni
皐月改二	Satsuki Kai Ni
初霜改二	Hatsushimo Kai Ni
叢雲改二	Murakumo Kai Ni
秋月	Akizuki
照月	Teruzuki
初月	Hatsuzuki
高波	Takanami
朝霜	Asashimo
吹雪改二	Fubuki Kai Ni
鳥海改二	Chōkai Kai Ni
摩耶改二	Maya Kai Ni
天城改	Amagi Kai
葛城改	Katsuragi Kai
U-511	U-511
Graf Zeppelin	Graf Zeppelin
Saratoga	Saratoga
睦月改二	Mutsuki Kai Ni
如月改二	Kisaragi Kai Ni
呂500	Ro-500
暁改二	Akatsuki Kai Ni
Saratoga改	Saratoga Kai
Warspite	Warspite
Iowa	Iowa
Littorio	Littorio
Roma	Roma
Libeccio	Libeccio
Aquila	Aquila
秋津洲	Akitsushima
Italia	Italia
Roma改	Roma Kai
Zara	Zara
Pola	Pola
秋津洲改	Akitsushima Kai
瑞穂	Mizuho
沖波	Okinami
風雲	Kazagumo
嵐	Arashi
萩風	Hagikaze
親潮	Oyashio
山風	Yamakaze
海風	Umikaze
江風	Kawakaze
速吸	Hayasui
翔鶴改二	Shōkaku Kai Ni
瑞鶴改二	Zuikaku Kai Ni
朝潮改二	Asashio Kai Ni
霞改二	Kasumi Kai Ni
鹿島	Kashima
翔鶴改二甲	Shōkaku Kai Ni A
瑞鶴改二甲	Zuikaku Kai Ni A
朝潮改二丁	Asashio Kai Ni D
江風改二	Kawakaze Kai Ni
霞改二乙	Kasumi Kai Ni B
神風	Kamikaze
朝風	Asakaze
春風	Harukaze
松風	Matsukaze
旗風	Hatakaze
神風改	Kamikaze Kai
天龍改二	Tenryū Kai Ni
龍田改二	Tatsuta Kai Ni
天霧	Amagiri
狭霧	Sagiri
水無月	Minazuki
伊26	I-26
藤波	Fujinami
浦波	Uranami
鬼怒改二	Kinu Kai Ni
由良改二	Yura Kai Ni
満潮改二	Michishio Kai Ni
荒潮改二	Arashio Kai Ni
Commandant Teste	Commandant Teste
Richelieu	Richelieu
伊400	I-400
伊13	I-13
伊14	I-14
Zara due	Zara due
白露改二	Shiratsuyu Kai Ni
村雨改二	Murasame Kai Ni
神威改	Kamoi Kai
神威改母	Kamoi Carrier Kai
鈴谷改二	Suzuya Kai Ni
熊野改二	Kumano Kai Ni
鈴谷航改二	Suzuya Carrier Kai Ni
熊野航改二	Kumano Carrier Kai Ni
Гангут	Гангут
Октябрьская революция	Октябрьская революция
Гангут два	Гангут два
Ark Royal	Ark Royal
Ташкент	Ташкент
占守	Shimushu
国後	Kunashiri
Jervis	Jervis
春日丸	Kasugamaru
択捉	Etorofu
松輪	Matsuwa
大鷹	Taiyō
大鷹改二	Taiyō Kai Ni
伊504	I-504
佐渡	Sado
涼月	Suzutsuki
Luigi Torelli	Luigi Torelli
涼月改	Suzutsuki Kai
UIT-25	UIT-25
対馬	Tsushima
長門改二	Nagato Kai Ni
夕雲改二	Yūgumo Kai Ni
長波改二	Naganami Kai Ni
Gambier Bay	Gambier Bay
Saratoga Mk.II	Saratoga Mk.II
武蔵改二	Musashi Kai Ni
多摩改二	Tama Kai Ni
文月改二	Fumizuki Kai Ni
Intrepid	Intrepid
Saratoga Mk.II Mod.2	Saratoga Mk.II Mod.2
日振	Hiburi
大東	Daitō
伊勢改二	Ise Kai Ni
瑞鳳改二	Zuihō Kai Ni
浦風丁改	Urakaze D Kai
磯風乙改	Isokaze B Kai
浜風乙改	Hamakaze B Kai
瑞鳳改二乙	Zuihō Kai Ni B
Samuel B.Roberts	Samuel B. Roberts
福江	Fukae
陽炎改二	Kagerō Kai Ni
不知火改二	Shiranui Kai Ni
黒潮改二	Kuroshio Kai Ni
Luigi Torelli改	Luigi Torelli Kai
伊400改	I-400 Kai
日振改	Hiburi Kai
大東改	Daitō Kai
浜波改	Hamanami Kai
Samuel B.Roberts改	Samuel B. Roberts Kai
福江改	Fukae Kai
