quest_101_code	A1
quest_128_desc	"카코", "후루타카", "아오바", "키누가사"로 이루어진 "제6전대"를 편성하라!
quest_129_code	A29
quest_129_name	"제5함대"를 편성하라!
quest_129_desc	"나치", "아시가라", "타마", "키소"를 중핵으로 한 "제5전대"를 편성하라!
quest_130_code	A30
quest_130_name	"제1수뢰전대"를 편성하라!
quest_130_desc	"아부쿠마", "아케보노", "우시오", "카스미", "시라누이"를 중핵으로 한 "제1수뢰전대"를 편성하라!
quest_131_code	A31
quest_131_name	"제8구축대"를 편성하라!
quest_131_desc	"아사시오", "미치시오", "오오시오", "아라시오" 4척으로 이루어진 "제8구축대"를 편성하라!
quest_132_code	A32
quest_132_name	"제18구축대"를 편성하라!
quest_132_desc	"카스미", "아라레", "카게로", "시라누이" 4척으로 이루어진 "제18구축대"를 편성하라!
quest_133_code	A33
quest_133_name	"제30구축대(제1차)"를 편성하라!
quest_133_desc	"무츠키", "키사라기", "야요이", "모치즈키" 4척으로 이루어진 "제30구축대(제1차)"를 편성하라!
quest_134_code	WA01
quest_134_name	식의 준비! (3)
quest_134_desc	제1함대의 기함으로 숙련도가 높은(Lv90~99) 칸무스를 배치하여 기분을 정리하자!
quest_135_code	WA02
quest_135_name	새로운 여행!
quest_135_desc	제1함대 기함으로 강한 인연을 맺은 Lv.100 이상의 칸무스를 배치한 6척의 함대를 편성하라! ※1척만 Lv100이면 나머지 칸무스의 레벨은 무관합니다.
quest_136_code	A34
quest_136_name	"제30구축대(제2차)"를 편성하라!
quest_136_desc	"무츠키", "우즈키", "야요이", "모치즈키" 4척으로 이루어진 "제30구축대(제2차)"를 편성하라!
quest_137_code	A35
quest_137_name	"제5전대"를 편성하라!
quest_137_desc	"묘코", "나치", "하구로" 를 중심으로 하는 제5전대를 편성하라!
quest_138_code	A36
quest_138_name	새로운 "제2항공전대"를 편성하라!
quest_138_desc	"히류 개2"(기함)와 "소류"를 기본으로 한 2항전(구축함 2척 필요)을 편성하라!
quest_139_code	A37
quest_139_name	잠수함대 "제6함대"를 편성하라!
quest_139_desc	잠수모함과 복수의 잠수함(4척 이상)을 기본으로 한 잠수함대 "제6함대"를 편성하라!
quest_140_code	A38
quest_140_name	신형 전탐을 배치하라!
quest_140_desc	신형 전탐 운용 시험을 위해 제일 함대의 기함에 " 묘코 개2"를 배치하라!
quest_141_code	A39
quest_141_name	재편된 "제2항공전대"를 강화하라!
quest_141_desc	"소류 개2"(기함)와 "히류 개2"를 기본으로 한 2항전(구축함 2척 필요)를 편성하라!
quest_142_code	A40
quest_142_name	정예 "제3전대" 전함 집결하라!
quest_142_desc	2차 개장을 완료한 개장 "콩고"급 고속전함 4척을 집결시켜라!
quest_143_code	A41
quest_143_name	신형 정규항모를 배치하라!
quest_143_desc	"운류"급 항공모함 1번함 "운류"를 기함으로 배치하라!!
quest_144_code	A42
quest_144_name	주력 전함 부대 "제2전대"를 편성하라!
quest_144_desc	"나가토"급 2척과 "후소"급 2척의 합계 4척을 주력으로 하는 제2전대를 편성하라!!
quest_145_code	A43
quest_145_name	전함을 주력으로 한 수상타격부대를 편성하라!
quest_145_desc	"야마토"급, "나가토"급, "이세"급, "후소"급 중 3척과 경순양함 1척의 수상타격부대를 배치하라!!
quest_146_code	A45
quest_146_name	"개수공창"을 준비하라!
quest_146_desc	첫째 함대의 기함에 공작함 "아카시"를 배치, "개수공창"의 준비를 하라!
quest_147_code	A44
quest_147_name	"니시무라 함대"를 재편성하라!
quest_147_desc	"후소", "야마시로", "모가미", "시구레", "미치시오"를 기본으로 하는 "니시무라 함대"를 편성하라!
quest_148_code	A46
quest_148_name	경쾌한 "수상반격부대"를 편성하라!
quest_148_desc	구축함 "카스미"를 기함으로 한 중순 "아시가라"및 경순양함 1척, 구축함 4척의 수상특공부대를 편성해라!
quest_149_code	A47
quest_149_name	"제11구축대"를 편성하라!
quest_149_desc	특1형 구축함 "후부키" "시라유키" "하츠유키" "무라쿠모" 4척에 의한 "제11구축대"를 편성하라!
quest_150_code	A48
quest_150_name	"제21구축대"를 편성하라!
quest_150_desc	"하츠하루" "네노히" "와카바" "하츠시모" 4척에 의한 "제21구축대"를 편성하라!
quest_151_code	A49
quest_151_name	"제22구축대"를 편성하라!
quest_151_desc	"사츠키" "후미즈키" "나가즈키" 외 1척, 총 구축함 4척에 의한 "제22구축대"를 편성하라!
quest_152_code	A50
quest_152_name	"미카와 함대"를 새로 편성, 진입 준비하라!
quest_152_desc	제1함대에 "초카이 개2"를 기함으로 미카와 함대를 편성하라!("초카이 개2"를 기함으로 "후루타카", "카코", "아오바", "키누가사", "유바리", "텐류" 중에서 5척을 포함해 총 6척으로 편성한다.)
quest_153_code	A51
quest_153_name	"제18전대"를 새로 편성하라!
quest_153_desc	경순양함 "텐류", "타츠타"를 기간전력으로 한 "제18전대"를 4척 이상으로 새로 편성하라!
quest_154_code	A52
quest_154_name	"해상 돌입 부대"를 편성하라!
quest_154_desc	전함 "히에이" "키리시마" 경순양함 "나가라" 구축함 "아카츠키" "이카즈치" "이나즈마"에 의한 해상 돌입 부대를 편성하라!
quest_155_code	A53
quest_155_name	새롭게 "제6 구축대"를 편성하라!
quest_155_desc	2차 개장한 "아카츠키"를 기함으로 "히비키(베르니)", "이카즈치", "이나즈마" 를 편성하라!
quest_156_code	A54
quest_156_name	"제1 수뢰전대" 북방 돌입준비!
quest_156_desc	"아부쿠마"를 기함으로 "히비키(베르니)" "하츠시모" "와카바" "사미다레" "시마카제"로 이루어진 1수전을 편성하라!
quest_157_code	A55
quest_157_name	"제1 수뢰전대" 북방 재돌입준비!
quest_157_desc	"아부쿠마 개2"를 기함으로 "히비키" "유구모" "나가나미" "아키구모" "시마카제"로 1수전을 재구성하라!
quest_158_code	SN04
quest_158_name	"아카기"에 함상공격기 "무라타대"를 배치하라!
quest_158_desc	항공모함 "아카기"를 비서함으로 하고 동 함에 함상공격기 "무라타대"를 배치하라!
quest_159_code	SN06
quest_159_name	"쇼카쿠"에게 함상공격기 "무라타대"를 이동배치하라!
quest_159_desc	항공모함 "쇼카쿠"를 비서함으로 하고 동 함에 함상공격기 "무라타대"를 이동배치하라!
quest_160_code	SN09
quest_160_name	서부방면파견부대, 출격하라!
quest_160_desc	서부해역으로 서부방면파견부대를 파견해, 해당 방면에 재결집중인 적 증원부대를 타격하라!
quest_161_code	A56
quest_161_name	"제5항공전대"를 재편성하라!
quest_161_desc	"쇼카쿠","즈이카쿠"와 수반구축함 "오보로"아키구모를 중핵으로 하는 제5항공전대를 재편성하라!
quest_162_code	A57
quest_162_name	신편 "제21전대" 출격 준비!
quest_162_desc	"나치 개2","아시가라 개2", 및 "타마", "키소"를 중핵으로 한 제21전대를 편성하라!
quest_163_code	A58
quest_163_name	"제16전대"(제1차)를 편성하라!
quest_163_desc	"아시가라"를 기함으로 하고 "쿠마", "나가라"를 포함하고 있는 제16전대(제1차)를 편성하라!
quest_164_code	A59
quest_164_name	"제3항공전대"를 편성하라!
quest_164_desc	"즈이카쿠 개"를 기함으로 "즈이호", "치토세 항", "치요다 항"을 포함한 4척의 항모부대를 편성하라!
quest_165_code	A60
quest_165_name	"제4항공전대"를 편성하라!
quest_165_desc	항공전함 "이세 개" 및 "휴가 개"를 핵심전력으로 하는 제4항공전대를 편성하라!
quest_166_code	A61
quest_166_name	"오자와 함대"를 편성하라!
quest_166_desc	"즈이카쿠 개" 기함, "즈이호 개", "치토세 항", "치요다 항" 및 "이세 개", "휴가 개"를 배치하라!
quest_167_code	A62
quest_167_name	신규 항공전대를 편성하라!
quest_167_desc	개2 개장을 마친 쇼카쿠급 항공모함 2척과 호위함으로 구성된 신규 항공전대를 편성하라!
quest_168_code	A63
quest_168_name	"제16전대"(제2차)를 편성하라!
quest_168_desc	"나토리"를 기함으로 "이스즈", "키누"를 포함한 제16전대(제2차)를 편성하라!
quest_169_code	A64
quest_169_name	신규 항공전대를 편성하라!
quest_169_desc	항모 2척+(항공전함 or 항공순양함)2척+구축함 2척으로 신규 항공전대를 편성하라!
quest_170_code	A65
quest_170_name	정강한 "수상반격부대"를 재편성하라!
quest_170_desc	"카스미" 기함으로 "아시가라", "오오요도","아사시모", "키요시모" 등으로 수상반격부대를 재편성하라!
quest_171_code	A66
quest_171_name	"제31전대"(제1차)를 편성하라!
quest_171_desc	"이스즈 개2"를 기함으로, "사츠키 개2", "우즈키 개"를 포함한 대잠기동수상부대를 편성하라!
quest_172_code	A67
quest_172_name	"제27구축대"를 편성하라!
quest_172_desc	"시라츠유 개"를 기함으로, "시구레", "하루사메"와 "사미다레" 4척으로 편성된 "제27구축대"를 편성하라!
quest_173_code	A68
quest_173_name	강행고속수송부대를 편성하라!
quest_173_desc	"센다이 개2"를 기함으로 "카와카제 개2", "시구레 개2",  외 기타 구축함 2척으로 수뢰전대를 편성하라!
quest_174_code	A69
quest_174_name	신편 "수뢰전대"를 포함한 함대를 재편성하라!
quest_174_desc	경순급 기함(경순양함, 연습순양함, 중뇌장순양함)과 구축함 4척으로 구성된 강력한 수뢰전대를 포함한 함대를 재편성하라!
quest_175_code	A70
quest_175_name	신편 "제8구축대"를 재편성하라!
quest_175_desc	"아사시오 개2"를 기함으로 "미치시오", "오오시오" "아라시오"로 구성된 제8구축대를 재편성하라!
quest_176_code	A71
quest_176_name	정예! 8구 제1소대!
quest_176_desc	"아사시오 개2정" 및 "오오시오 개2"를 포함한 함대를 편성하라!
quest_177_code	A72
quest_177_name	"제19구축대"를 편성하라!
quest_177_desc	특형구축함 "이소나미", "우라나미", "아야나미", "시키나미" 4척으로 제19구축대를 편성하라!
quest_178_code	A73
quest_178_name	"제16전대(제3차)"를 편성하라!
quest_178_desc	"키누","아오바", "키타카미", "오오이"를 포함한 제16전대(제3차)를 편성하라!
quest_179_code	A74
quest_179_name	정예 "제16전대"를 재편성하라!
quest_179_desc	"키누 개2" 기함, "키타카미 개2", "오오이 개2", "쿠마 개"를 비롯해 "아오바 개", "우라나미 개", "시키나미 개" 중 5척으로 총 6척의 정예 제16전대를 편성하라!
quest_180_code	A75
quest_180_name	신편 "제1전대"를 편성하라!
quest_180_desc	편성임무: 제1함대에 새롭게 개장된 나가토형 전함 1번함 "나가토 개2" 및 동형 2번함 "무츠 개"로 구성된 신편 제1전대를 배치하라!
quest_181_code	A76
quest_181_name	신편 "제7전대"를 편성하라!
quest_181_desc	편성임무: 제1함대 기함에 새롭게 개장된 개스즈야형 "쿠마노 개2", 2번함에 "스즈야 개2," 그 외에 "모가미 개", "미쿠마 개"를 배치한 신편 제7전대를 배치하라!
quest_182_code	A77
quest_182_name	정예 "제4항공전대"를 편성하라!
quest_182_desc	편성임무: 제1함대 기함 및 2번함에 숙련도(레벨) 50 이상의 항공전함 "이세", "휴가"를 배치, 수반함에 경순양함 1척, 구축함 2척 그 외를 따르는 정예 "제4항공전대"를 재편성하라!
quest_183_code	A78
quest_183_name	신편 "제4수뢰전대"를 편성하라!
quest_183_desc	편성임무: 제1함대 기함에 "유라 개2"를 배치, 수반함에 구축 "무라사메", "유다치", "하루사메", "사미다레", 기타 1척의 구축함을 배치, 신편 "제4수뢰전대"를 편성하라!
quest_184_code	A79
quest_184_name	정예 "제22구축대"를 재편성하라!
quest_184_desc	편성임무: "후미즈키 개2", "사츠키 개2", "미나즈키 개"," 나가츠키 개"의 정예 구축함 4척의 편성에 의한 정예 "제22구축대"를 재편성하라!
quest_201_code	Bd1
quest_201_name	적 함대를 격파하라!
quest_201_desc	함대를 출격시켜 적 함대를 포착하여 격멸하라!
quest_202_code	B1
quest_202_name	첫 "출격"!
quest_202_desc	함대를 출격시켜 적 함대와 교전하자!
quest_203_code	B2
quest_203_name	진수부정면해역을 지켜라!
quest_203_desc	진수부정면해역에 함대를 출격시켜 적 함대의 공격을 저지하라!(1-1해역에 출격하여 보스전까지 클리어하면 달성.)
quest_204_code	B4
quest_204_name	남서제도 앞바다에 출격하라!
quest_204_desc	남서제도 앞바다(1-2)에 함대를 출격시켜 적 함대와 교전하라!
quest_205_code	B5
quest_205_name	접근하는 "적 전위함대"를 요격하라!
quest_205_desc	남서제도 앞바다(1-2)에 접근하는 "적 전위함대"를 포착하여 격멸하라!
quest_206_code	B6
quest_206_name	"수뢰전대"로 출격하라!
quest_206_desc	경순양함 1척을 기함으로 하고 다수의 구축함으로 이루어진 수뢰전대로 출격하라!
quest_207_code	B7
quest_207_name	"중순양함"을 출격시켜라!
quest_207_desc	중순양함을 기함으로 한 함대를 편성, 출격시켜라!
quest_208_code	B8
quest_208_name	"전함"을 출격시켜라!
quest_208_desc	해상의 패자, 전함을 기함으로 한 함대를 편성, 출격시켜라!
quest_209_code	B9
quest_209_name	"항모기동부대" 출격하라!
quest_209_desc	항모 1척과 그 호위함대로 편성된 항모기동부대를 출격시켜라! ※경항모도 가능, 수상기모함 불가 ※항모1척, 호위3척 ,총4척이 필요
quest_210_code	Bd3
quest_210_name	적 함대를 10회 요격하라!
quest_210_desc	함대 주력 출격! 배회 중인 적 함대를 10회 요격하라!
quest_211_code	Bd4
quest_211_name	적 항모를 3척 격침시켜라!
quest_211_desc	함대에 위협이 되는 적 항모 무리를 포착 격멸, 3척을 굉침시켜라! ※경항모 격침도 가능 ※장갑항모(일부 보스)는 공모에 해당되지 않음.
quest_212_code	Bd6
quest_212_name	적 수송선단을 타격하라!
quest_212_desc	적 수송선 5척 이상을 굉침시켜 적 수송로를 단절시켜라!
quest_213_code	Bw3
quest_213_name	해상통상파괴작전
quest_213_desc	1주일간 적 수송선을 20척 이상 격침시켜라!
quest_214_code	Bw1
quest_214_name	아호작전
quest_214_desc	1주간 전력으로 출격하여, 가능한 한 많은 적 함대를 포착, 요격하라! ※출격 36회, 보스전 도달 24회, 보스전 승리 12회, S승리 6회
quest_215_code	B3
quest_215_name	제2함대, 출격하라!
quest_215_desc	새롭게 편성한 제2함대를 출격시켜라!
quest_216_code	Bd2
quest_216_name	적 함대 주력을 격멸하라!
quest_216_desc	함대를 출격시켜 적 함대 "주력"을 포착, 격멸하라!
quest_217_code	B10
quest_217_name	적 항모를 격침시켜라!
quest_217_desc	적 기동부대를 포착하여 요격, 적 항모를 굉침시켜라!
quest_218_code	Bd5
quest_218_name	적 보급함을 3척 격침하라!
quest_218_desc	함대를 출격시켜 적 보급함을 포착, 이를 격침하라!
quest_219_code	B11
quest_219_name	"미카와 함대" 출격하라!
quest_219_desc	새로 편성한 "미카와 함대"로 출격하라!　※미카와 함대에 속하는 "카코", "후루타카", "아오바", "초카이", "텐류"와 그 외 고속 칸무스 1척으로 편성된 함대를 출격시켜서 달성.
quest_220_code	Bw2
quest_220_name	이호작전
quest_220_desc	유력한 모함항공대로 1주일간 전력으로 출격하여, 가능한 한 많은 적 항모를 격멸하라! (적 항공모함 또는 경항모를 20척 격침하면 달성.)
quest_221_code	Bw4
quest_221_name	로호작전
quest_221_desc	1주일간 전력으로 출격하여 적 수송선단을 포착하여 격멸, 적 수송로를 차단하라! (적 수송선을 50척 이상 격침하면 달성.)
quest_222_code	B12
quest_222_name	"제6구축대" 출격하라!
quest_222_desc	"아카츠키", "히비키", "이카즈치", "이나즈마"로 이루어진 제6구축대, 출격하라!
quest_223_code	B13
quest_223_name	"제4전대" 출격하라!
quest_223_desc	"아타고", "타카오", "초카이", "마야"를 기반으로 한 제4전대로 바시 섬 앞바다의 적을 격멸하라!
quest_224_code	B14
quest_224_name	"니시무라 함대" 출격하라!
quest_224_desc	"후소", "야마시로", "모가미", "시구레"를 기반으로 한 니시무라 함대로 오룔 해의 적을 격멸하라!
quest_225_code	B15
quest_225_name	"제5항공전대" 출격하라!
quest_225_desc	"쇼카쿠", "즈이카쿠"를 기반으로 한 "제5항공전대"로 북방해역 모레이 해(3-1)의 적을 격멸하라!
quest_226_code	Bd7
quest_226_name	남서제도해역의 제해권을 장악하라!
quest_226_desc	함대를 남서제도해역에 전력 출격시켜 다수의 적함대 '주력'군을 포착하여 격파하라 (보스전 5회 승리)
quest_227_code	B16
quest_227_name	신 "미카와 함대" 출격하라!
quest_227_desc	완전 편성된 "미카와 함대"를 데리고 오룔 해(2-3)의 적을 격멸하라!("초카이", "아오바", "키누가사", "카코", "후루타카", "텐류" 6척으로 2-3 보스전 승리로 달성.)
quest_228_code	Bw5
quest_228_name	해상호위전
quest_228_desc	적 잠수함을 15척 이상 격침하면 달성.
quest_229_code	Bw6
quest_229_name	적 동방함대를 격멸하라!
quest_229_desc	서방해역에 출격하여, 적 동방함대의 주력을 포착, 격멸하라!(서방해역(4해역) 보스전 12회 승리)
quest_230_code	Bd8
quest_230_name	적 잠수함을 제압하라!
quest_230_desc	대잠능력을 충실히 갖춘 함대로 출격해 적 잠수함 사냥을 실시하라! ※(잠수함을 6척 격침하면 달성.)
quest_231_code	B17
quest_231_name	"잠수함대" 출격하라! (1회용)
quest_231_desc	잠수함 2척으로 편성된 잠수함대로 오룔 해의 적을 격멸하라!(잠수함 2척이 포함된 함대로 2-3 보스전에서 승리하면 달성.)
quest_232_code	B18
quest_232_name	"항공수상타격함대" 출격하라!
quest_232_desc	항공전함 2척, 항공순양함 2척을 기반으로 한 함대로 카레 양의 제해권을 쥐어라!(항전 2척, 항순 2척이 포함된 함대로 4-2 보스전에서 승리하면 달성.)
quest_233_code	B19
quest_233_name	"제6전대" 출격하라!
quest_233_desc	편성한 "제6전대"를 이끌고 출격하여 오룔 해의 적을 격멸하여 "완전승리"하라!
quest_234_code	OR1
quest_234_name	수상반격작전 [례호 작전]을 완수하라!
quest_234_desc	건빵만에서 돌격부대를 출격시켜, 수상반격작전 [례호 작전]을 완수하라!
quest_239_code	B20
quest_239_name	"제8구축대" 출격하라!
quest_239_desc	편성한 "제8구축대"를 포함한 함대로 출격하여 오룔 해의 적을 격멸하라!　※아사시오, 미치시오, 오오시오, 아라시오를 포함한 함대로 2-3 보스전에서 승리하면 달성. 다른 칸무스를 함께 데려가도 OK.
quest_240_code	B21
quest_240_name	"제18구축대" 출격하라!
quest_240_desc	편성한 "제18구축대"를 포함한 함대로 출격하여 모레이 해의 적을 격멸하라!　※카스미, 아라레, 카게로, 시라누이 4척을 포함한 함대로 3-1 보스전에서 승리하면 달성.
quest_241_code	Bw7
quest_241_name	적 북방함대 주력을 격멸하라!
quest_241_desc	북방해역의 심부에 출격하여 적 북방함대의 주력을 포착, 격멸하라!(북방해역(3해역) 보스전 5회 승리)
quest_242_code	Bw8
quest_242_name	적 동방중추함대를 격멸하라!
quest_242_desc	서방해역 카스가다마 섬 앞바다에 출격하여 적 동방중추함대를 포착, 격파하라!(4-4 해역 보스전 1회 승리 - 구축2척, 항순1척이 함대에 포함시 보방 앞까지 루트고정)
quest_243_code	Bw9
quest_243_name	남방해역 산호제도 앞바다의 제공권을 쥐어라!
quest_243_desc	남방해역 산호제도 앞바다에 출격하여 적 기동부대 전체를 격멸, 완전승리하라!(5-2 해역 보스전 2회 S승리 - 정규항모(or 장갑항모)2척, 경항모1척 + 그 외 3척 을 편성시 보스방 루트고정)
quest_244_code	B22
quest_244_name	"제30구축대(제1차)" 출격하라!
quest_244_desc	제30구축대(제1차)"를 포함한 함대로 출격하여 키스 섬 앞바다의 주력함대와 교전하라! 무츠키, 키사라기, 야요이, 모치즈키 4척을 포함한 함대로 3-2 보스전에서 C패배 이상을 달성하면 성공.
quest_245_code	WB01
quest_245_name	식의 준비! (최종)
quest_245_desc	숙련도가 높은(Lv.90~99) 칸무스를 제1함대 기함으로 출격하여, 오룔 해(2-3)의 수평선에 승리를 새겨라!(레벨 90 이상의 칸무스를 기함으로 삼아 동부 오룔 해(2-3)의 보스전에서 S승리를 거두면 달성.)
quest_246_code	WB02
quest_246_name	둘이서 하는 첫 임무!
quest_246_desc	강한 연을 맺은 칸무스를 기함으로 한 제1함대로 리랑카 섬(4-3)에 출격하여, 적 중추를 격멸하라!(레벨 100 이상의 칸무스를 제1함대 기함으로 삼아 4-3 보스전에서 S승리를 거두면 달성.)
quest_247_code	B23
quest_247_name	"항공전함" 발묘하라!
quest_247_desc	항공전함 2척을 기반으로 한 함대로 서방해역 카스가다마 섬의 적 세력을 격파하라!
quest_248_code	B24
quest_248_name	"제30구축대" 대잠초계!
quest_248_desc	제 30구축대(제2차)는 즉시 출항하여 진수부근해의 대잠초계를 실시하라!(무츠키, 우즈키, 야요이, 모치즈키로 1-5 보스 C패배 이상 클리어)
quest_249_code	Bm1
quest_249_name	"제5전대" 출격하라!
quest_249_desc	제5전대는 오키노시마의 전투초계를 실시,적주력을 포착하여 ,격멸하라! (묘코/나치/하구로 가 편성된 함대로 2-5보스방 S승)
quest_250_code	B25
quest_250_name	새로운 "제2항공전대" 출격하라!
quest_250_desc	2014년 6월 6일에 추가된 임무 중 하나. 히류改2를 기함으로 한 제2항전 편성 퀘스트에 이어지는 출격 퀘스트로,히류改2를 기함으로 설정하고 구축함2척과 소류를 포함한 함대로 5-2 보스를 S승리로 클리어하면 임무를 완수한 것으로 간주한다. 편성할 때 들어간 칸무스 이외에 다른 2척을 더 넣어서 출격해도 무방.
quest_251_code	B26
quest_251_name	정예 "제2항공전대" 발묘하라!
quest_251_desc	연성을 끝내고 재편된 2항전을 기본으로 한 함대로, 적 리랑카 섬을 공습, 격파하라!(소류改2를 기함으로 한 제2항전 편성 퀘스트에 이어지는 출격 퀘스트로, 4-3 보스를 S승리로 클리어하면 임무를 완수한 것으로 간주한다.)
quest_252_code	B27
quest_252_name	전함 "하루나" 출격하라!
quest_252_desc	제2차 개장실시를 끝낸 하루나를 기본으로 한 함대로, 남방해역에 진출 적 주력부대를 격파하라!
quest_253_code	B28
quest_253_name	제601항공대 출격하라!
quest_253_desc	운류급 항공모함 "운류 改"를 포함한 기동부대로 산호섬 해역에 출격, 적 기동부대를 격멸하라!(미개장 상태의 운류로는 달성되지 않으니 주의. 5-2 보스를 S승리로 클리어하면 달성된다.)
quest_254_code	B29
quest_254_name	경항모 전대 출격하라!
quest_254_desc	경항모 1~2척, 경순 1척, 구축함 3~4척의 함대로 캄란 반도의 적을 격멸하라!(조건을 맞춰 2-1 보스를 S승리로 클리어 하면 된다. (뇌순 제외))
quest_255_code	B30
quest_255_name	수뢰전대 바시섬 바다 긴급전개
quest_255_desc	경순을 기함으로 수뢰전대(경순 최대 2척 나머지 구축)로 바시섬 바다 적을 격멸하라!(조건을 맞춰 2-2 보스를 S승리로 클리어 하면 된다.)
quest_256_code	Bm2
quest_256_name	"잠수함대" 출격하라! (월간)
quest_256_desc	잠수함 전력을 중핵으로 구성한 함대를 중부해역초계선에 반복 출격시켜 적전력을 깎아내라!(중부해역 6-1 보스방을 S승으로 3번 클리어)
quest_257_code	Bm3
quest_257_name	"수뢰전대" 남서쪽으로!
quest_257_desc	경순양함의 수뢰전대(경순 최대 3척, 그 외 구축함)을 급파, 남서제도방위선의 적을 격멸하라!(1-4 남서제도방위선의 보스전을 S승)
quest_258_code	B31
quest_258_name	제2전대 발묘!
quest_258_desc	제2전대를 기반으로한 함대로 카레양에 진출. 반복출격으로 적 해상병력을 격파하라!
quest_259_code	Bm4
quest_259_name	수상타격부대 남방으로!
quest_259_desc	전함3척 경순1척을 기반으로 한 수상타격대를 남방해역에 진출, 적전력을 격멸하라!(5-1 보스를 S승리로 1번 클리어)
