quest_101_code	A1
quest_126_desc	Have 2 BBV and 2 CAV in your main fleet.
quest_127_code	A27
quest_127_name	Form a Medium-Sized Submarine Fleet!
quest_127_desc	Have 3 SS(V) in your fleet.
quest_128_code	A28
quest_128_name	Form the 6th Cruiser Division!
quest_128_desc	Have Furutaka, Kako, Aoba and Kinugasa in your main fleet.
quest_129_code	A29
quest_129_name	Form the 5th Fleet!
quest_129_desc	Have Nachi, Ashigara, Tama and Kiso in your fleet.
quest_130_code	A30
quest_130_name	Form the 1st Torpedo Squadron!
quest_130_desc	Have Abukuma, Akebono, Ushio, Kasumi and Shiranui in your fleet.
quest_131_code	A31
quest_131_name	Form the 8th Destroyer Division!
quest_131_desc	Have ONLY Asashio, Michishio, Ooshio and Arashio in your fleet.
quest_132_code	A32
quest_132_name	Form the 18th Destroyer Division!
quest_132_desc	Have ONLY Kasumi, Arare, Kagerou and Shiranui in your fleet.
quest_133_code	A33
quest_133_name	Form the 30th Destroyer Division (First Generation)!
quest_133_desc	Have ONLY Mutsuki, Kisaragi, Yayoi and Mochizuki in your fleet.
quest_134_code	WA01
quest_134_name	Preparation for the Ceremony! (Part 3)
quest_134_desc	Collect your feelings and set Fleet 1 with a Lv.90~99 flagship!
quest_135_code	WA02
quest_135_name	A New Voyage!
quest_135_desc	Form a fleet with your newlywed Lv.100+ ship as flagship and 5 additional ships!
quest_136_code	A34
quest_136_name	Form the 30th Destroyer Division (Second Generation)!
quest_136_desc	Have ONLY Mutsuki, Yayoi, Uzuki and Mochizuki in your fleet.
quest_137_code	A35
quest_137_name	Form the 5th Cruiser Division!
quest_137_desc	Have Myoukou, Nachi and Haguro in your fleet.
quest_138_code	A36
quest_138_name	Form the New 2nd Carrier Division!
quest_138_desc	Have Hiryuu Kai Ni as flagship, Souryuu and 2 DD in your fleet.
quest_139_code	A37
quest_139_name	Form the 6th Submarine Fleet!
quest_139_desc	Have 1 AS and 4 SS(V) in your fleet.
quest_140_code	A38
quest_140_name	Deploy the New Type of Radar!
quest_140_desc	Have Myoukou Kai Ni as Fleet 1 flagship.
quest_141_code	A39
quest_141_name	Strengthen the Reformed 2nd Carrier Division!
quest_141_desc	Have Souryuu Kai Ni as flagship, Hiryuu Kai Ni, and 2 DD in your fleet.
quest_142_code	A40
quest_142_name	Amass All Ships of the Elite 3rd Battleship Division!
quest_142_desc	Have Kongou Kai Ni, Haruna Kai Ni, Kirishima Kai Ni and Hiei Kai Ni in your main fleet.
quest_143_code	A41
quest_143_name	Deploy a New Model of Standard Aircraft Carrier!
quest_143_desc	Have Unryuu as Fleet 1 flagship.
quest_144_code	A42
quest_144_name	Form the Main Battleship Force, 2nd Division!
quest_144_desc	Have ONLY Nagato, Mutsu, Fusou and Yamashiro in your main fleet.
quest_145_code	A43
quest_145_name	Arrange the Primary Battleships of the Surface Task Force!
quest_145_desc	Have 3 BB (Nagato-class, Fusou-class, Ise-cass or Yamato-class ONLY) and 1 CL in your fleet.
quest_146_code	A45
quest_146_name	Prepare the Improvement Arsenal!
quest_146_desc	Have Akashi as flagship of Fleet 1.
quest_147_code	A44
quest_147_name	Reform the Nishimura Fleet!
quest_147_desc	Have Fusou, Yamashiro, Mogami, Shigure and Michishio in your main fleet.
quest_148_code	A46
quest_148_name	Form a Light Surface Counterattack Force!
quest_148_desc	Have Kasumi as flagship, Ashigara, 1 CL and 3 DD in your main fleet.
quest_149_code	A47
quest_149_name	Form the 11th Destroyer Division!
quest_149_desc	Have ONLY Fubuki, Shirayuki, Hatsuyuki and Murakumo in your main fleet.
quest_150_code	A48
quest_150_name	Form the 21st Destroyer Division!
quest_150_desc	Have ONLY Hatsuharu, Nenohi, Wakaba and Hatsushimo in your main fleet.
quest_151_code	A49
quest_151_name	Form the 22nd Destroyer Division!
quest_151_desc	Have ONLY Satsuki, Fumizuki, Nagatsuki and 1 DD in your main fleet.
quest_152_code	A50
quest_152_name	Prepare the New Mikawa Fleet to Break Through!
quest_152_desc	Have Choukai Kai Ni as flagship and any five of Aoba, Kinugasa, Kako, Furutaka, Tenryuu, Yuubari in your main fleet.
quest_153_code	A51
quest_153_name	Reform the 18th Cruiser Division!
quest_153_desc	Have Tenryuu, Tatsuta and at least 2 additional ships in your fleet.
quest_154_code	A52
quest_154_name	Form the Surface Breakthrough Force!
quest_154_desc	Have Hiei, Kirishima, Nagara, Akatsuki, Ikazuchi and Inazuma in your fleet.
quest_155_code	A53
quest_155_name	Form the New 6th Destroyer Division!
quest_155_desc	Have ONLY Akatsuki Kai Ni as flagship, Hibiki/Verniy, Ikazuchi and Inazuma in your fleet.
quest_156_code	A54
quest_156_name	Prepare the 1st Torpedo Squadron to Break Through into the North!
quest_156_desc	Have Abukuma as flagship, Hibiki/Verniy, Hatsushimo, Wakaba, Samidare and Shimakaze in your main fleet.
quest_157_code	A55
quest_157_name	Prepare DesRon 1 to Break Through into the North Again!
quest_157_desc	Have Abukuma Kai Ni as flagship, Hibiki/Verniy, Yuugumo, Naganami, Akigumo and Shimakaze in your main fleet.
quest_161_code	A56
quest_161_name	Reform the 5th Carrier Division!
quest_161_desc	Have Shoukaku, Zuikaku, Oboro and Akigumo in your main fleet.
quest_162_code	A57
quest_162_name	Prepare to Sortie the New 21st Cruiser Division!
quest_162_desc	Have Nachi Kai Ni, Ashigara Kai Ni, Tama and Kiso in your main fleet.
quest_163_code	A58
quest_163_name	Form the 16th Cruiser Division (First Generation)!
quest_163_desc	Have Ashigara as flagship, Kuma and Nagara in your main fleet.
quest_164_code	A59
quest_164_name	Form the 3rd Carrier Division!
quest_164_desc	Have Zuikaku Kai as flagship, Zuihou, Chitose (CVL) and Chiyoda (CVL) in your main fleet.
quest_165_code	A60
quest_165_name	Form the 4th Carrier Division!
quest_165_desc	Have Ise Kai and Hyuuga Kai in your main fleet.
quest_166_code	A61
quest_166_name	Form the Ozawa Fleet!
quest_166_desc	Have Zuikaku Kai as flagship, Zuihou Kai, Chitose (CVL), Chiyoda (CVL), Ise Kai and Hyuuga Kai in your main fleet.
quest_167_code	A62
quest_167_name	Form the New Carrier Division!
quest_167_desc	Have Zuikaku Kai Ni, Shoukaku Kai Ni and 2 DD in your fleet.
quest_168_code	A63
quest_168_name	Form the 16th Cruiser Division (Second Generation)
quest_168_desc	Have Natori as flagship, Isuzu and Kinu in your fleet.
quest_169_code	A64
quest_169_name	Form the Newly Organized Carrier Division!
quest_169_desc	Have 2 CV(L), 2 BBV/CAV and 2 DD in your fleet.
quest_170_code	A65
quest_170_name	Reform the Strengthened Surface Counterattack Force!
quest_170_desc	Have Kasumi as flagship, Ashigara, Ooyodo, Asashimo and Kiyoshimo in your fleet.
quest_171_code	A66
quest_171_name	Form the 31st Cruiser Division (First Generation)!
quest_171_desc	Have Isuzu Kai Ni as flagship, Satsuki Kai Ni and Uzuki Kai in your fleet.
quest_172_code	A67
quest_172_name	Form the 27th Destroyer Division!
quest_172_desc	Have ONLY Shiratsuyu Kai as flagship, Shigure, Harusame and Samidare in your fleet.
quest_173_code	A68
quest_173_name	Form a Forced High-Speed Transport Force!
quest_173_desc	Have Sendai Kai Ni as flagship, Kawakaze Kai Ni, Shigure Kai Ni and 2 DD in your fleet.
quest_174_code	A69
quest_174_name	Reform the Fleet Composition Into a New Torpedo Squadron!
quest_174_desc	Have a CL/CLT/CT as flagship and 4 DD in any fleet.
quest_175_code	A70
quest_175_name	Reform the New 8th Destroyer Division!
quest_175_desc	Have ONLY Asashio Kai Ni (or Kai Ni D) as flagship, Michishio, Ooshio and Arashio in your fleet.
quest_176_code	A71
quest_176_name	Elite! DesDiv 8, 1st platoon!
quest_176_desc	Have Asashio Kai Ni D and Ooshio Kai Ni in your fleet.
quest_177_code	A72
quest_177_name	Form the 19th Destroyer Division!
quest_177_desc	Have Isonami, Uranami, Ayanami and Shikinami in your fleet.
quest_178_code	A73
quest_178_name	Form the 16th Cruiser Division (Third Generation)!
quest_178_desc	Have Kinu, Aoba, Kitakami and Ooi in your fleet.
quest_179_code	A74
quest_179_name	Reform the Elite 16th Cruiser Division!
quest_179_desc	Have Kinu Kai Ni as flagship and any five of Kitakami Kai Ni, Ooi Kai Ni, Kuma Kai, Aoba Kai, Uranami Kai and Shikinami Kai in your fleet.
quest_180_code	A75
quest_180_name	Form the New 1st Battleship Division!
quest_180_desc	Have Nagato Kai Ni as flagship and Mutsu Kai in Fleet 1.
quest_181_code	A76
quest_181_name	Form the New 7th Cruiser Division!
quest_181_desc	Have Kumano Kai Ni (or Kou) as flagship, Suzuya Kai Ni (or Kou) as second ship, Mogami Kai and Mikuma Kai in Fleet 1.
quest_182_code	A77
quest_182_name	Reform the Elite 4th Carrier Division!
quest_182_desc	Have Lv.50+ Ise and Lv. 50+ Hyuuga as flagship and second ship, 1 CL, 2 DD, and 1 additional ship in Fleet 1.
quest_183_code	A78
quest_183_name	Form the New 4th Torpedo Squadron!
quest_183_desc	Have Yura Kai Ni as flagship, Murasame, Yuudachi, Harusame, Samidare, and 1 other DD in Fleet 1.
quest_184_code	A79
quest_184_name	Reform the Elite 22nd Destroyer Division!
quest_184_desc	Have Fumizuki Kai Ni, Satsuki Kai Ni, Minazuki Kai and Nagatsuki Kai in your fleet.
quest_201_code	Bd1
quest_201_name	Daily Victory
quest_201_desc	Defeat an Abyssal fleet by obtaining at least a B-Rank.
quest_202_code	B1
quest_202_name	Sortieing for the First Time!
quest_202_desc	Sortie your main fleet.
quest_203_code	B2
quest_203_name	Guard the Sea in Front of the Naval Base!
quest_203_desc	Sortie to [W1-1]. B-Rank+ the boss node.
quest_204_code	B4
quest_204_name	Sortie into the Nansei Islands Region!
quest_204_desc	Sortie to [W1-2]. Reach the end of the map.
quest_205_code	B5
quest_205_name	Intercept the Approaching Enemy Vanguard Fleet!
quest_205_desc	Sortie to [W1-2]. B-Rank+ the boss node.
quest_206_code	B6
quest_206_name	Sortie a Torpedo Squadron!
quest_206_desc	Sortie a CL as flagship and 3 DD to any map.
quest_207_code	B7
quest_207_name	Sortie a Heavy Cruiser!
quest_207_desc	Sortie a CA as flagship to any map.
quest_208_code	B8
quest_208_name	Sortie a Battleship!
quest_208_desc	Sortie a BB flagship to any map. A BBV will not count.
quest_209_code	B9
quest_209_name	Sortie a Carrier Task Force!
quest_209_desc	Sortie a CV(L) flagship and 5 DD/CL/AV to any map.
quest_210_code	Bd3
quest_210_name	Daily Battles
quest_210_desc	Attack 10 Abyssal fleets.
quest_211_code	Bd4
quest_211_name	Daily Carriers
quest_211_desc	Sink 3 Abyssal CV(L).
quest_212_code	Bd6
quest_212_name	Daily Transports 2
quest_212_desc	Sink 5 Abyssal transport ships.
quest_213_code	Bw3
quest_213_name	Weekly Transports
quest_213_desc	Sink 20 Abyssal transport ships.
quest_214_code	Bw1
quest_214_name	Weekly Sorties
quest_214_desc	Sortie 36 times, reach 24 boss nodes, B-Rank+ 12 boss nodes, and obtain 6 S-Ranks.
quest_215_code	B3
quest_215_name	Second Fleet, Sortie!
quest_215_desc	Sortie your 2nd Fleet to any map. A sortie, not an expedition.
quest_216_code	Bd2
quest_216_name	Daily Battle
quest_216_desc	Attack 1 Abyssal fleet.
quest_217_code	B10
quest_217_name	Sink an Enemy Carrier!
quest_217_desc	Sink an Abyssal CV(L).
quest_218_code	Bd5
quest_218_name	Daily Transports
quest_218_desc	Sink 3 Abyssal transport ships.
quest_219_code	B11
quest_219_name	Sortie the Mikawa Fleet!
quest_219_desc	Sortie Choukai, Aoba, Kako, Furutaka, Tenryuu and 1 additional FAST ship to any map.
quest_220_code	Bw2
quest_220_name	Weekly Carriers
quest_220_desc	Sink 20 Abyssal CV(L).
quest_221_code	Bw4
quest_221_name	Weekly Transports 2
quest_221_desc	Sink 50 Abyssal transport ships.
quest_222_code	B12
quest_222_name	Sortie the 6th Destroyer Division!
quest_222_desc	Sortie ONLY Akatsuki, Hibiki, Inazuma and Ikazuchi to any map.
quest_223_code	B13
quest_223_name	Sortie the 4th Cruiser Division!
quest_223_desc	Sortie Atago, Takao, Choukai, Maya and 2 additional ships to [W2-2]. B-Rank+ the boss node.
quest_224_code	B14
quest_224_name	Sortie the Nishimura Fleet!
quest_224_desc	Sortie Fusou, Yamashiro, Mogami, Shigure and 2 additional ships to [W2-3]. B-Rank+ the boss node.
quest_225_code	B15
quest_225_name	Sortie the 5th Carrier Division!
quest_225_desc	Sortie Shoukaku, Zuikaku and 4 additional ships to [W3-1]. B-Rank+ the boss node.
quest_226_code	Bd7
quest_226_name	Daily [W2] Bosses
quest_226_desc	Sortie to any map in [W2]. B-Rank+ any boss node 5 times.
quest_227_code	B16
quest_227_name	Sortie the New Mikawa Fleet!
quest_227_desc	Sortie Choukai, Aoba, Kinugasa, Kako, Furutaka and Tenryuu to [W2-3]. B-Rank+ the boss node.
quest_228_code	Bw5
quest_228_name	Weekly Submarines
quest_228_desc	Sink 15 Abyssal submarines.
quest_229_code	Bw6
quest_229_name	Weekly [W4] Bosses
quest_229_desc	Sortie to any map in [W4]. B-Rank+ any boss node 12 times.
quest_230_code	Bd8
quest_230_name	Daily Submarines
quest_230_desc	Sink 6 Abyssal submarines.
quest_231_code	B17
quest_231_name	Sortie a Submarine Fleet!
quest_231_desc	Sortie 2 SS and 4 additional ships to [W2-3]. B-Rank+ the boss node.
quest_232_code	B18
quest_232_name	Sortie an Aviation Surface Attack Fleet!
quest_232_desc	Sortie 2 BBV, 2 CAV and 2 additional ships to [W4-2]. B-Rank+ the boss node.
quest_233_code	B19
quest_233_name	Sortie the 6th Cruiser Division!
quest_233_desc	Sortie Furutaka, Kako, Kinugasa, Aoba and 2 additional ships to [W2-3]. S-Rank the boss node.
quest_239_code	B20
quest_239_name	Sortie the 8th Destroyer Division!
quest_239_desc	Sortie Asashio, Michishio, Ooshio, Arashio and 2 additional ships to [W2-3]. B-Rank+ the boss node.
quest_240_code	B21
quest_240_name	Sortie the 18th Destroyer Division!
quest_240_desc	Sortie Kasumi, Arare, Kagerou, Shiranui and 2 additional ships to [W3-1]. B-Rank+ the boss node.
quest_241_code	Bw7
quest_241_name	Weekly [W3] Bosses
quest_241_desc	Sortie to [W3-3], [W3-4] or [W3-5]. B-Rank+ any boss node 5 times.
quest_242_code	Bw8
quest_242_name	Weekly [W4-4]
quest_242_desc	Sortie to [W4-4]. B-Rank+ the boss node.
quest_243_code	Bw9
quest_243_name	Weekly [W5-2]
quest_243_desc	Sortie to [W5-2]. S-Rank the boss node 2 times.
quest_244_code	B22
quest_244_name	Sortie the 30th Destroyer Division (First Generation)!
quest_244_desc	Sortie Mutsuki, Kisaragi, Yayoi, Mochizuki and up to 2 additional ships to [W3-2]. C-Rank+ the boss node.
quest_245_code	WB01
quest_245_name	Preparation for the Ceremony! (Finale)
quest_245_desc	Sortie a Lv.90-99 flagship to [W2-3]. S-Rank the boss node.
quest_246_code	WB02
quest_246_name	A Couple's First Mission!
quest_246_desc	Sortie a Lv.100+ Fleet 1 flagship to [W4-3]. S-Rank the boss node.
quest_247_code	B23
quest_247_name	The Aviation Battleships Set Sail!
quest_247_desc	Sortie 2 BBV and up to 4 additional ships to [W4-4]. B-Rank+ the boss node.
quest_248_code	B24
quest_248_name	The 30th Destroyer Fleet's Anti-Submarine Patrol
quest_248_desc	Sortie Mutsuki, Yayoi, Uzuki and Mochizuki to [W1-5]. C-Rank+ the boss node.
quest_249_code	Bm1
quest_249_name	Monthly [W2-5] Myoukou Fleet
quest_249_desc	Sortie Myoukou, Nachi, Haguro and 3 additional ships to [W2-5]. S-Rank the boss node.
quest_250_code	B25
quest_250_name	Sortie the New 2nd Carrier Division
quest_250_desc	Sortie Hiryuu Kai Ni as flagship, Souryuu, 2 DD and up to 2 additional ships to [W5-2]. S-Rank the boss node.
quest_251_code	B26
quest_251_name	The Elite 2nd Carrier Division Sets Sail!
quest_251_desc	Sortie Souryuu Kai Ni as flagship, Hiryuu Kai Ni, 2 DD and up to 2 additional ships to [W4-3]. S-Rank the boss node.
quest_252_code	B27
quest_252_name	Sortie the Battleship Haruna!
quest_252_desc	Sortie Haruna Kai Ni as flagship and 5 additional ships to [W5-1]. S-Rank the boss node.
quest_253_code	B28
quest_253_name	Sortie the 601st Naval Air Group!
quest_253_desc	Sortie Unryuu Kai as flagship and 5 additional ships to [W5-2]. S-Rank the boss node.
quest_254_code	B29
quest_254_name	Sortie a Light Aircraft Carrier Division!
quest_254_desc	Sortie 1-2 CVL, 1 CL and 3-4 DD to [W2-1]. S-Rank the boss node.
quest_255_code	B30
quest_255_name	Emergency Deployment of a Torpedo Squadron!
quest_255_desc	Sortie a CL as flagship and either (1 CL and 4 DD) or (5 DD) to [W2-2]. S-Rank the boss node.
quest_256_code	Bm2
quest_256_name	Monthly [W6-1]
quest_256_desc	Sortie to [W6-1]. S-Rank the boss node 3 times.
quest_257_code	Bm3
quest_257_name	Monthly [W1-4]
quest_257_desc	Sortie a CL as flagship, up to 2 other CL, and at least 1 DD to [W1-4]. No other ship types are allowed. S-Rank the boss node.
quest_258_code	B31
quest_258_name	The 2nd Battleship Division Sets Sail!
quest_258_desc	Sortie Nagato, Mutsu, Fusou, Yamashiro and 2 additional ships to [W4-2]. S-Rank the boss node 2 times.
quest_259_code	Bm4
quest_259_name	Monthly [W5-1]
quest_259_desc	Sortie 3 BB (Yamato-class, Nagato-class, Ise-class or Fusou-class ONLY), 1 CL and 2 additional ships to [W5-1]. S-Rank the boss node.
quest_260_code	B32
quest_260_name	Rush the Battleship Force into the Northern Sea!
quest_260_desc	Sortie 2 (F)BB (no BBV), 1 CVL and 3 additional ships to [W3-5]. S-Rank the boss node.
quest_261_code	Bw10
quest_261_name	Weekly [W1-5]
quest_261_desc	Sortie to [W1-5]. A-Rank+ the boss node 3 times.
quest_262_code	B33
quest_262_name	Advance the Nishimura Fleet into the Southern Sea!
quest_262_desc	Sortie Fusou, Yamashiro, Mogami, Shigure, Michishio and 1 additional ship to [W5-1]. S-Rank the boss node.
quest_263_code	B34
quest_263_name	Sortie the 6th Cruiser Division into the Southwestern Sea!
quest_263_desc	Sortie Furutaka, Kako, Aoba, Kinugasa and 2 additional ships to [W2-5]. S-Rank the boss node.
quest_264_code	Bm6
quest_264_name	Monthly [W4-2]
quest_264_desc	Sortie 2 CV(B/L), 2 DD and 2 additional ships to [W4-2]. S-Rank the boss node.
quest_265_code	Bm5
quest_265_name	Monthly [W1-5]
quest_265_desc	Sortie to [W1-5]. A-Rank+ the boss node 10 times.
quest_266_code	Bm7
quest_266_name	Monthly [W2-5] Light Fleet
quest_266_desc	Sortie a DD as flagship, 3 additional DD, 1 CA (not CAV) and 1 CL to [W2-5]. S-Rank the boss node.
quest_267_code	B35
quest_267_name	Sortie the 11th Destroyer Division!
quest_267_desc	Sortie Fubuki, Shirayuki, Hatsuyuki, Murakumo and 2 additional ships to [W2-3]. B-Rank+ the boss node.
quest_268_code	B36
quest_268_name	The 11th Destroyer Division's Anti-Submarine Patrol!
quest_268_desc	Sortie Fubuki, Shirayuki, Hatsuyuki and Murakumo to [W1-5]. C-Rank+ the boss node.
quest_269_code	B37
quest_269_name	Sortie the 21st Destroyer Division!
quest_269_desc	Sortie Hatsuharu, Nenohi, Wakaba, Hatsushimo and 2 additional ships to [W3-1]. S-Rank the boss node.
quest_270_code	B39
quest_270_name	Sortie the 22nd Destroyer Division!
quest_270_desc	Sortie Satsuki, Fumizuki, Nagatsuki, 1 DD and up to 2 additional ships to [W1-4]. S-Rank the boss node.
quest_271_code	B38
quest_271_name	The Nachi Division Sets Sail!
quest_271_desc	Sortie Nachi as flagship, Hatsushimo, Kasumi, Ushio, Akebono and 1 additional ship to [W2-2]. S-Rank the boss node.
quest_272_code	B40
quest_272_name	Sortie the Remodeled Anti-Air Heavy Cruiser!
quest_272_desc	Sortie Maya Kai or Kai Ni, 1 CL, 2 DD and up to 2 additional ships to [W2-3]. S-Rank the boss node.
quest_273_code	B41
quest_273_name	Sortie the New Mikawa Fleet into the Solomon Islands Region!
quest_273_desc	Sortie Choukai Kai Ni as flagship and any five of Aoba, Kinugasa, Kako, Furutaka, Tenryuu, Yuubari to [W5-1]. S-Rank the boss node.
quest_274_code	B42
quest_274_name	The 6th Destroyer Division's Anti-Submarine Patrol, Nanodesu!
quest_274_desc	Sortie Akatsuki, Hibiki/Verniy, Inazuma and Ikazuchi to [W1-5]. C-Rank+ the boss node.
quest_275_code	B43
quest_275_name	The 18th Division Sets Sail!
quest_275_desc	Sortie Tenryuu, Tatsuta and at least 2 other ships to [W2-3]. S-Rank the boss node.
quest_276_code	B44
quest_276_name	Advance the Surface Breakthrough Force!
quest_276_desc	Sortie Hiei, Kirishima, Nagara, Akatsuki, Ikazuchi and Inazuma to [W5-1]. S-Rank the boss node.
quest_277_code	B45
quest_277_name	DesDiv 6's Thorough Anti-Submarine Patrol, Nanodesu!
quest_277_desc	Sortie Akatsuki Kai Ni, Hibiki/Verniy, Ikazuchi and Inazuma to [W1-5]. A-Rank+ the boss node.
quest_278_code	B46
quest_278_name	Rush the 1st Torpedo Squadron to Operation KE!
quest_278_desc	Sortie Abukuma as flagship, Hibiki/Verniy, Hatsushimo, Wakaba, Samidare and Shimakaze to [W3-2]. B-Rank+ the boss node.
quest_279_code	B47
quest_279_name	Rush the 1st Torpedo Squadron North Again to Operation KE!
quest_279_desc	Sortie Abukuma Kai Ni as flagship, Hibiki/Verniy, Yuugumo, Naganami, Akigumo and Shimakaze to [W3-2]. S-Rank the boss node.
quest_285_code	B49
quest_285_name	Advance the Carrier Task Force into the Northern Sea!
quest_285_desc	Sortie a CV(B) as flagship to [W3-5]. S-Rank the boss node.
quest_286_code	B48
quest_286_name	Intensify the Anti-Sub Patrol in Front of the Naval Base!
quest_286_desc	Sortie to [W1-5]. A-Rank+ the boss node 4 times.
quest_287_code	B50
quest_287_name	Sortie the 5th Carrier Division into the Coral Sea Region!
quest_287_desc	Sortie Shoukaku, Zuikaku, Oboro, Akigumo and up to 2 additional ships to [W5-2]. S-Rank the boss node.
quest_288_code	B51
quest_288_name	Sortie the New 21st Cruiser Division into the North!
quest_288_desc	Sortie Nachi Kai Ni, Ashigara Kai Ni, Tama, Kiso and up to 2 additional ships to [W3-1]. S-Rank the boss node.
quest_289_code	B52
quest_289_name	Sortie the 16th Cruiser Division (First Generation)!
quest_289_desc	Sortie Ashigara as flagship, Kuma, Nagara and up to 3 additional ships to [W2-2]. S-Rank the boss the node.
quest_293_code	B53
quest_293_name	Sortie CarDiv 3 to the Nansei Islands Defense Line!
quest_293_desc	Sortie Zuikaku Kai as flagship, Zuihou, Chitose (CVL), Chiyoda (CVL) and up to 2 additional ships to [W1-4]. S-Rank the boss node.
quest_294_code	B54
quest_294_name	Sortie the Ozawa Fleet!
quest_294_desc	Sortie Zuikaku Kai+ as flagship, Zuihou Kai, Chitose (CVL), Chiyoda (CVL), Ise Kai and Hyuuga Kai to [W2-4]. S-Rank the boss node.
quest_295_code	B55
quest_295_name	Sortie the 16th Cruiser Division (Second Generation)!
quest_295_desc	Sortie Natori as flagship, Isuzu, Kinu and up to 3 additional ships to [W2-3]. S-Rank the boss node.
quest_296_code	B56
quest_296_name	Newly Formed Carrier Division, Advance into the North!
quest_296_desc	Sortie 2 CV, 2 BBV/CAV and 2 DD to [W3-3]. S-Rank the boss node.
quest_297_code	B57
quest_297_name	Carry out the Operation Rei-Go!
quest_297_desc	Sortie Kasumi as flagship, Ashigara, Ooyodo, Asashimo, Kiyoshimo and 1 additional ship to [W2-5]. S-Rank the boss node.
quest_301_code	C1
quest_301_name	The First Exercise!
quest_301_desc	Challenge another fleet in an Exercise.
quest_302_code	C4
quest_302_name	Weekly Exercises
quest_302_desc	Secure 20 victories in Exercises within the same week.
quest_303_code	C2
quest_303_name	Daily Exercises 1
quest_303_desc	Challenge 3 other fleets in Exercises.
quest_304_code	C3
quest_304_name	Daily Exercises 2
quest_304_desc	Secure 5 victories in Exercises within the same day.
quest_306_code	WC01
quest_306_name	Preparation for the Ceremony (Part 2)
quest_306_desc	Show your love by securing 2 victories in Exercises.
quest_307_code	C5
quest_307_name	Endeavor to Improve the Fleet's Level of Training!
quest_307_desc	Secure 3 victories in Exercises within the same day.
quest_308_code	C6
quest_308_name	Intensify the Exercises!
quest_308_desc	Secure 4 victories in Exercises within the same day.
quest_309_code	C7
quest_309_name	Training for the Next Operation!
