海防艦		해방함
陸奥改	무츠改
赤城改	아카기改
加賀改	카가改
蒼龍改	소류改
飛龍改	히류改
龍驤改	류죠改
祥鳳改	쇼호改
飛鷹改	히요改
隼鷹改	준요改
鳳翔改	호쇼改
扶桑改	후소改
山城改	야마시로改
翔鶴改	쇼카쿠改
鬼怒改	키누改
阿武隈改	아부쿠마改
千歳航改	치토세航改
千代田航改	치요다航改
夕張改	유바리改
舞風改	마이카제改
衣笠改	키누가사改
千歳航改二		치토세航改2
千代田航改二	치요다航改2
初風改	하츠카제改
秋雲改	아키구모改
夕雲改	유구모改
巻雲改	마키구모改
長波改	나가나미改
阿賀野改	아가노改
能代改	노시로改
矢矧改	야하기改
弥生改	야요이改
卯月改	우즈키改
Z1改		레베改
Z3改		막스改
浜風改	하마카제改
谷風改	타니카제改
酒匂改	사카와改
天津風改	아마츠카제改
浦風改	우라카제改
龍鳳改	류호改
妙高改二	묘코改2
磯風改	이소카제改
大淀改	오요도改
時津風改	토키츠카제改
春雨改	하루사메改
早霜改	하야시모改
清霜改	키요시모改
初春改二	하츠하루改2
朝雲改	아사구모改
山雲改	야마구모改
野分改	노와키改
秋月改	아키즈키改
天城		아마기
葛城		카츠라기
U-511改	U-511改
香取改	카토리改
朝霜改	아사시모改
高波改	타카나미改
照月改	테루즈키改
Libeccio改	리베치오改
瑞穂改	미즈호改
風雲改	카자구모改
海風改	우미카제改
江風改	카와카제改
速吸改	하야스이改
Graf Zeppelin改	그라프 체펠린改
嵐改		아라시改
萩風改	하기카제改
鹿島改	카시마改
初月改	하츠즈키改
Zara改	자라改
沖波改	오키나미改
Iowa改	아이오와改
Pola改	폴라改
親潮改	오야시오改
春風改	하루카제改
Warspite改	워스파이트改
Aquila改	아퀼라改
水無月改	미나즈키改
伊26改	이-26改
浦波改	우라나미改
伊168改	이-168改
伊58改	이-58改
伊8改		이-8改
伊19改	이-19改
まるゆ改	마루유改
伊401改	이-401改
雲龍		운류
春雨		하루사메
雲龍改	운류改
潮改二	우시오改2
隼鷹改二	준요改2
早霜		하야시모
清霜		키요시모
扶桑改二	후소改2
山城改二	야마시로改2
朝雲		아사구모
山雲		야마구모
野分		노와키
古鷹改二	후루타카改2
加古改二	카코改2
皐月改二	사츠키改2
初霜改二	하츠시모改2
叢雲改二	무라쿠모改2
秋月		아키즈키
照月		테루즈키
初月		하츠즈키
高波		타카나미
朝霜		아사시모
吹雪改二	후부키改2
鳥海改二	쵸카이改2
摩耶改二	마야改2
天城改	아마기改
葛城改	카츠라기改
U-511		U-511
Graf Zeppelin	그라프 체펠린
睦月改二	무츠키改2
如月改二	키사라기改2
呂500	로-500
暁改二	아카츠키改2
Warspite	워스파이트
Iowa		아이오와
Littorio	리토리오
Roma		로마
Libeccio	리베치오
Aquila	아퀼라
秋津洲	아키츠시마
Italia		이탈리아
Roma改	로마改
Zara		자라
Pola		폴라
秋津洲改	아키츠시마改
瑞穂		미즈호
沖波		오키나미
風雲		카자구모
嵐		아라시
萩風		하기카제
親潮		오야시오
海風		우미카제
江風		카와카제
速吸		하야스이
翔鶴改二	쇼카쿠改2
瑞鶴改二	즈이카쿠改2
朝潮改二	아사시오改2
霞改二	카스미改2
鹿島		카시마
翔鶴改二甲	쇼카쿠改2甲
瑞鶴改二甲	즈이카쿠改2甲
朝潮改二丁	아사시오改2丁
江風改二	카와카제改2
霞改二乙	카스미改2乙
神風		카미카제
春風		하루카제
神風改	카미카제改
水無月	미나즈키
伊26		이-26
浦波		우라나미
鬼怒改二	키누改2
由良改二	유라改2
山風改	야마카제改
朝風改	아사카제改
山風		야마카제
朝風		아사카제
Commandant Teste	코망단 테스트
Commandant Teste改	코망단 테스트改
Saratoga	새러토가
Saratoga改	새러토가改
松風		마츠카제
松風改	마츠카제改
藤波		후지나미
藤波改	후지나미改
伊13		이-13
伊13改	이-13改
伊14		이-14
伊14改	이-14改
Zara due	자라 due
鈴谷改二	스즈야改2
熊野改二	쿠마노改2
鈴谷航改二	스즈야航改2
熊野航改二	쿠마노航改2
Гангут				강구트
Гангут два				강구트 два
Октябрьская революция	시월혁명
占守		시무슈
占守改	시무슈改
国後		쿠나시리
国後改	쿠나시리改
択捉		에토로후
択捉改	에토로후改
春日丸	카스가마루
大鷹		타이요
大鷹改	타이요改
大鷹改二	타이요改2
神威改	카모이改
神威改母	카모이改母
長門改二	나가토改2
文月改二	후미즈키改2
伊504			이-504
Luigi Torelli		루이지 토렐리
Luigi Torelli改	루이지 토렐리改
UIT-25			UIT-25
松輪		마츠와
松輪改	마츠와改
Ark Royal		아크로열
Ark Royal改		아크로열改
Richelieu		리슐리외
Richelieu改		리슐리외改
旗風		하타카제
旗風改	하타카제改
天霧		아마기리
天霧改	아마기리改
狭霧		사기리
狭霧改	사기리改
